sensor_identifier,sensor_name,site_id,last_record_datetime
157,sensor_157,1340,"2021-05-04 15:15:00"
158,sensor_158,1199,"2021-05-04 15:15:00"
162,sensor_162,452,"2021-05-04 15:17:00"
164,sensor_164,1199,"2021-05-04 15:15:00"
166,sensor_166,1266,"2021-05-04 15:15:00"
167,sensor_167,957,"2021-05-04 15:15:00"
168,sensor_168,1199,"2021-05-04 15:15:00"
169,sensor_169,1199,"2021-05-04 15:15:00"
171,sensor_171,1192,"2021-05-04 15:15:00"
172,sensor_172,387,"2021-05-04 15:17:00"
173,sensor_173,1406,"2021-05-04 15:17:00"
174,sensor_174,1429,"2021-05-04 15:17:00"
175,sensor_175,1442,"2021-05-04 15:17:00"
176,sensor_176,1472,"2021-05-04 15:15:00"
177,sensor_177,934,"2021-05-04 15:17:00"
178,sensor_178,934,"2021-05-04 15:17:00"
179,sensor_179,933,"2021-05-04 15:17:00"
180,sensor_180,933,"2021-05-04 15:17:00"
181,sensor_181,1480,"2021-05-04 15:17:00"
182,sensor_182,1479,"2021-05-04 15:17:00"
184,sensor_184,1553,"2021-05-04 15:15:00"
185,sensor_185,625,"2021-05-04 15:15:00"
186,sensor_186,1675,"2021-05-04 15:15:00"
187,sensor_187,1466,"2021-05-04 15:15:00"
188,sensor_188,1671,"2021-05-04 15:15:00"
189,sensor_189,1386,"2021-05-04 15:17:00"
189,sensor_189,2322,"2021-05-04 15:17:00"
190,sensor_190,1386,"2021-05-04 15:15:00"
190,sensor_190,2322,"2021-05-04 15:15:00"
191,sensor_191,2310,"2021-05-04 15:17:00"
192,sensor_192,2310,"2021-05-04 15:17:00"
193,sensor_193,1387,"2021-05-04 15:17:00"
194,sensor_194,1387,"2021-05-04 15:17:00"
195,sensor_195,2283,"2021-05-04 15:15:00"
196,sensor_196,2282,"2021-05-04 15:15:00"
198,sensor_198,1386,"2021-05-04 15:17:00"
198,sensor_198,2322,"2021-05-04 15:17:00"
199,sensor_199,1388,"2021-05-04 15:17:00"
200,sensor_200,1388,"2021-05-04 15:17:00"
201,sensor_201,1388,"2021-05-04 15:17:00"
202,sensor_202,1388,"2021-05-04 15:17:00"
203,sensor_203,1453,"2021-05-04 15:15:00"
204,sensor_204,1984,"2021-05-04 15:17:00"
205,sensor_205,1954,"2021-05-04 15:17:00"
206,sensor_206,2051,"2021-05-04 15:17:00"
206,sensor_206,2232,"2021-05-04 15:17:00"
207,sensor_207,2051,"2021-05-04 15:17:00"
207,sensor_207,2232,"2021-05-04 15:17:00"
208,sensor_208,1554,"2020-12-09 15:45:00"
209,sensor_209,1554,"2020-12-09 15:40:00"
210,sensor_210,1554,"2021-05-04 15:15:00"
212,sensor_212,2031,"2021-05-04 15:15:00"
215,sensor_215,2033,"2021-05-04 15:15:00"
216,sensor_216,2033,"2021-05-04 15:15:00"
217,sensor_217,2032,"2021-05-04 15:15:00"
218,sensor_218,2223,"2021-05-04 15:15:00"
219,sensor_219,2317,"2021-05-04 15:17:00"
220,sensor_220,2317,"2021-05-04 15:17:00"
221,sensor_221,2317,"2021-05-04 15:52:00"
222,sensor_222,2317,"2021-05-04 15:52:00"
223,sensor_223,2311,"2021-05-04 15:17:00"
