site_id,opening_datetime,closing_datetime
1442,"2021-05-07 10:00:00","2021-05-07 12:00:00"
1442,"2021-05-07 14:00:00","2021-05-07 18:00:00"
1453,"2021-05-07 09:00:00","2021-05-07 17:00:00"
1466,"2021-05-07 07:45:00","2021-05-07 22:00:00"
1472,"2021-05-07 06:00:00","2021-05-07 23:00:00"
1479,NULL,NULL
1480,NULL,NULL
1553,"2021-05-07 08:00:00","2021-05-07 19:00:00"
1554,"2021-05-07 10:00:00","2021-05-07 18:00:00"
1671,"2021-05-07 13:00:00","2021-05-07 17:00:00"
1675,"2021-05-07 08:15:00","2021-05-07 17:00:00"
1728,"2021-05-07 09:00:00","2021-05-07 18:00:00"
1784,NULL,NULL
1954,NULL,NULL
1984,NULL,NULL
2031,"2021-05-07 08:30:00","2021-05-07 13:00:00"
2031,"2021-05-07 14:00:00","2021-05-07 19:00:00"
2032,"2021-05-07 09:00:00","2021-05-07 13:00:00"
2032,"2021-05-07 14:00:00","2021-05-07 19:00:00"
2033,"2021-05-07 08:30:00","2021-05-07 13:00:00"
2033,"2021-05-07 14:00:00","2021-05-07 19:00:00"
2051,"2021-05-07 08:00:00","2021-05-07 20:30:00"
2223,"2021-05-07 08:00:00","2021-05-07 22:00:00"
2232,"2021-05-07 08:00:00","2021-05-07 20:30:00"
2282,"2021-05-07 09:00:00","2021-05-07 20:00:00"
2283,"2021-05-07 09:00:00","2021-05-07 20:00:00"
2310,"2021-05-07 09:00:00","2021-05-07 18:00:00"
2311,"2021-05-07 09:00:00","2021-05-07 18:00:00"
2317,"2021-05-07 08:00:00","2021-05-07 19:00:00"
2322,"2021-05-07 18:00:00","2021-05-07 20:00:00"
2322,"2021-05-07 08:00:00","2021-05-07 14:00:00"
